Stall_no,Market_Category,Loyalty_customer,Product_Category,Grade,Demand,Discount_avail,charges_1,charges_2 (%),Minimum_price,Maximum_price,Selling_Price,month,year,weekday,No_of_Week
37.0,2,1,10,1,68,0.0,376.0,11.0,2983.0,4713.0,4185.9477,8,2015,5,34
38.0,24,1,10,0,51,0.0,397.0,12.0,7495.0,10352.0,9271.490256000001,3,2016,6,12
9.0,447,1,7,0,10,0.0,250.0,9.0,5752.0,7309.0,6785.701362000001,8,2015,1,34
50.0,23,1,1,2,48,0.0,144.0,13.0,5090.0,20814.0,13028.917824,3,2016,0,13
7.0,63,1,8,1,35,1.0,211.0,4.0,2430.0,9261.0,906.5539349999999,3,2016,1,13
23.0,162,0,9,1,49,0.0,633.0,6.0,3959.0,6104.0,5631.247872,9,2015,4,39
33.0,462,0,4,3,57,0.0,263.0,13.0,2006.0,5257.0,3874.2649920000003,12,2014,0,50
4.0,23,1,1,1,67,0.0,104.0,15.0,3596.0,5921.0,4820.9436,9,2015,1,39
26.0,156,1,7,0,53,0.0,310.0,6.0,6965.0,10194.0,8837.724240000001,3,2016,0,13
5.0,275,1,7,0,84,1.0,321.0,8.0,1103.0,5430.0,530.7618623999999,8,2015,2,34
16.0,3,1,4,0,6,0.0,247.0,17.0,1573.0,2915.0,2494.560519,9,2015,4,39
1.0,268,1,8,2,22,0.0,274.0,1.0,3256.0,6033.0,4906.6626,3,2016,1,13
39.0,188,1,3,0,68,0.0,253.0,11.0,2699.0,4909.0,4020.5682,3,2016,1,13
45.0,186,1,4,0,38,1.0,291.0,17.0,3657.0,58812.0,4724.948025,3,2016,3,10
46.0,358,1,2,3,39,0.0,117.0,9.0,7106.0,18697.0,12997.534725,3,2016,0,13
15.0,24,0,1,0,16,0.0,129.0,10.0,2915.0,4273.0,3726.2173409999996,9,2015,4,39
14.0,1,0,10,0,74,0.0,,11.0,786.0,5894.8330078125,2582.8605,9,2015,3,39
17.0,3,1,1,0,57,0.0,120.0,10.0,1806.0,2510.0,2265.566976,9,2015,3,39
14.0,294,0,3,2,29,0.0,273.0,9.0,1876.0,4092.0,3251.540775,8,2015,2,34
36.0,456,1,3,0,56,0.0,318.0,8.0,4184.0,6956.0,5854.748256,2,2016,6,5
24.0,137,1,2,0,7,1.0,139.0,7.0,5821.0,19237.0,1901.32534845,3,2016,6,12
10.0,250,1,2,0,72,0.0,124.0,6.0,3801.0,6159.0,5055.9201,5,2015,2,19
27.0,451,0,7,0,16,0.0,317.0,16.0,4757.0,7174.0,6291.410796,10,2015,1,43
40.0,198,1,8,0,93,0.0,215.0,7.0,3165.0,4178.0,3833.0673920000004,9,2015,5,39
18.0,451,1,3,0,22,0.0,297.0,11.0,8289.0,11444.0,10148.914125,11,2015,4,47
32.0,211,1,4,0,84,0.0,253.0,17.0,5176.0,7755.0,6632.585344,11,2015,2,47
9.0,283,1,1,0,81,0.0,134.0,12.0,5673.0,9323.0,7530.9696,5,2015,5,19
9.0,236,1,6,0,8,0.0,130.0,8.0,1266.0,8600.0,5066.443305,5,2015,3,19
19.0,358,1,6,3,80,0.0,153.0,6.0,9673.0,15573.0,12495.939675,8,2015,5,33
36.0,23,1,3,2,27,0.0,251.0,7.0,1077.0,2207.0,1889.414625,8,2015,4,34
25.0,63,1,6,1,44,0.0,147.0,5.0,5824.0,8860.0,7444.716912000001,3,2016,1,9
16.0,3,1,4,0,66,0.0,266.0,13.0,990.0,3013.0,2247.399,9,2015,1,39
35.0,165,1,4,0,23,0.0,222.0,14.0,4818.0,7435.0,6341.1873,8,2015,6,33
17.0,101,0,8,0,19,0.0,,9.0,950.0,1580.0,1563.9835859999998,8,2015,2,34
33.0,101,0,2,0,85,0.0,104.0,9.0,1179.0,1753.0,1548.692992,8,2015,2,34
29.0,423,0,8,0,12,0.0,280.0,8.0,4843.0,8913.0,7162.78365,8,2015,0,34
5.0,14,1,7,0,61,0.0,323.0,14.0,5682.0,13583.3291015625,7056.7299,11,2015,3,47
8.0,451,0,5,0,45,0.0,262.0,13.0,4526.0,6800.0,5894.392896,9,2015,5,39
25.0,11,1,6,3,85,1.0,166.0,7.0,558.0,1469.0,174.4822464,3,2016,0,13
21.0,443,1,9,0,40,1.0,613.0,13.0,5658.0,8363.0,1119.13144125,8,2015,5,33
40.0,24,1,1,0,88,1.0,170.0,16.0,7236.0,9829.0,1288.595616,3,2016,6,12
27.0,358,1,7,3,71,0.0,310.0,8.0,4293.0,19849.0,12266.7534,3,2016,2,13
23.0,443,1,3,0,34,1.0,339.0,5.0,5975.0,8226.0,1113.66635625,8,2015,1,34
23.0,451,0,5,0,31,0.0,222.0,13.0,6057.0,7466.0,6974.809275,11,2015,3,47
1.0,211,1,8,0,15,0.0,260.0,8.0,497.0,7855.0,4438.896065999999,3,2016,1,13
37.0,23,0,9,2,31,0.0,521.0,7.0,4306.0,13430.0,9371.721975,3,2016,1,13
24.0,58,1,10,1,55,0.0,374.0,17.0,3538.0,4756.0,4499.070479999999,11,2015,3,46
36.0,62,1,8,0,71,1.0,251.0,1.0,1968.0,6703.0,681.159105,11,2015,2,45
4.0,58,0,1,0,48,0.0,134.0,13.0,3218.0,4443.0,3944.075328,9,2015,2,38
38.0,283,0,9,0,82,1.0,470.0,9.0,2371.0,6303.0,711.2434559999999,5,2015,1,19
3.0,0,1,7,0,27,0.0,289.0,16.0,2368.0,4231.0,3584.79555,11,2014,5,44
39.0,55,1,10,0,31,0.0,374.0,16.0,1842.0,3179.0,2881.2987,9,2015,4,39
42.0,58,1,10,0,57,0.0,363.0,11.0,7425.0,10250.0,9151.274592,3,2016,0,13
5.0,469,1,4,0,46,0.0,252.0,13.0,7137.0,8866.0,8211.011040000001,3,2016,0,12
41.0,350,1,6,3,69,0.0,158.0,10.0,6646.0,9290.0,8052.6303,8,2015,0,34
30.0,469,0,9,0,14,0.0,477.0,8.0,3557.0,4742.0,4629.357018,9,2015,5,39
14.0,1,0,6,0,41,1.0,136.0,3.0,3574.0,4756.0,641.20734,2,2014,4,8
